NOME,Ano,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE
ALUNO-1,2020,8.50002,8.7,7.5,7,5.9375,7.75,10,7.883752
ALUNO-2,2020,,,,,,,,
ALUNO-3,2020,7.91667,8.9,7.5,5.5,8.125,8.111113333,10,7.856389667
ALUNO-4,2020,8.00002,4.1,6.875,0,7.1875,7.75,5,5.076252
ALUNO-5,2020,7.50002,8,7.5,7.5,8.4375,8.166665,10,8.077085
ALUNO-6,2020,,,,,,,,
ALUNO-7,2020,,,,,,,,
ALUNO-8,2020,8.33334,9.9,4.375,7.333333333,8.75,8.94445,10,8.381390667
ALUNO-9,2020,,,,,,,,
ALUNO-10,2020,5.83333,5.2,3.75,0,7.96875,6.8333325,10,5.1618745
ALUNO-11,2020,9.00002,10,8.125,10,10,10.00001,10,9.712504
ALUNO-12,2020,6.25,6,5.625,6.666666667,5.625,5.27777,5,5.838887333
ALUNO-13,2020,,,,,,,,
ALUNO-14,2020,8.00002,7.6,6.875,0,8.4375,7.916665,10,6.434585
ALUNO-15,2020,8.50002,4,7.5,0,8.125,7.25,5,5.162502
ALUNO-16,2020,,,,,,,,
ALUNO-17,2020,9.50002,6.8,7.5,10,6.5625,7.75,5,7.766252
ALUNO-18,2020,9.58335,7,7.5,6.5,7.083333333,7.944446667,5,7.205557667
ALUNO-19,2020,,,,,,,,
ALUNO-20,2020,,,,,,,,
ALUNO-21,2020,,,,,,,,
ALUNO-22,2020,,,,,,,,
ALUNO-23,2020,,,,,,,,
ALUNO-24,2020,,,,,,,,
ALUNO-25,2020,,,,,,,,
ALUNO-26,2020,,,,,,,,
ALUNO-27,2020,,,,,,,,
ALUNO-28,2020,9.58335,9.6,6.875,9,10,9.944453333,10,9.354725667
ALUNO-29,2020,,,,,,,,
ALUNO-30,2020,7.91668,10,7.5,4.75,2.5,6.916665,10,7.125001
ALUNO-31,2020,,,,,,,,
ALUNO-32,2020,,,,,,,,
ALUNO-33,2020,6.66667,4.5,7.5,8.666666667,7.083333333,6.277773333,10,7.013888333
ALUNO-34,2020,8.50002,9.3,6.875,7,8.125,7.944443333,5,7.698890667
ALUNO-35,2020,8.75001,6.1,6.25,5,7.65625,8.29167,5,6.64396
ALUNO-36,2020,9.58335,9.9,7.5,8,8.75,8.222226667,5,8.307780333
ALUNO-37,2020,10.00002,7.7,4.375,2.5,6.458333333,7.77778,10,6.678891333
ALUNO-38,2020,,,,,,,,
ALUNO-39,2020,6.24999,9.4,7.5,8.333333333,8.541666667,6.77778,10,8.131388333
ALUNO-40,2020,,,,,,,,
ALUNO-41,2020,8.00002,8.3,7.5,7.25,7.5,7.75,5,7.460002
ALUNO-42,2020,,,,,,,,
ALUNO-43,2020,7.5,7.5,7.5,7,7.96875,8.04167,10,7.805209
ALUNO-44,2020,9.00002,6.8,7.5,0,6.25,7.916665,10,6.218335
ALUNO-45,2020,8.50002,1,7.5,10,7.8125,7.75,5,6.631252
ALUNO-46,2020,9.50002,10,7.5,0,7.5,7.583335,10,6.966669
ALUNO-47,2020,,,,,,,,
ALUNO-48,2020,,,,,,,,
ALUNO-49,2020,,,,,,,,
ALUNO-50,2020,,,,,,,,
ALUNO-51,2020,9.50002,9.8,7.5,10,8.125,7.416665,10,8.955835
ALUNO-52,2020,10.00002,8.6,6.25,7,7.916666667,8.22222,10,8.181112667
ALUNO-53,2020,9.16668,10,7.5,8.2,0,0,10,8.696668
ALUNO-54,2020,,,,,,,,
ALUNO-55,2020,0,9,7.5,6.333333333,8.28125,8.6666675,5,6.878125167
ALUNO-56,2020,,,,,,,,
ALUNO-57,2020,8.33334,7.1,6.25,5.833333333,7.5,7.5833325,10,7.311667167
ALUNO-58,2020,,,,,,,,
ALUNO-59,2020,8.75001,3.6,7.5,6,7.291666667,6.44444,10,6.563055667
ALUNO-60,2020,7.5,9.7,6.875,6.666666667,8.4375,8.124995,5,7.679582333
ALUNO-61,2020,9.00002,6.5,7.5,0,6.875,7.333333333,5,5.604168667
ALUNO-62,2020,7.91668,6.9,7.5,3.5,7.083333333,7.5,5,6.330001333
ALUNO-63,2020,,,,,,,,
ALUNO-64,2020,,,,,,,,
ALUNO-65,2020,,,,,,,,
ALUNO-66,2020,,,,,,,,
ALUNO-67,2020,,,,,,,,
ALUNO-68,2020,9.00002,7.6,7.5,0,7.1875,8,5,5.988752
ALUNO-69,2020,,,,,,,,
ALUNO-70,2020,,,,,,,,
ALUNO-71,2020,8.50002,10,5,9.5,2.5,7.749995,5,7.550001
ALUNO-72,2020,,,,,,,,
ALUNO-73,2020,,,,,,,,
ALUNO-74,2020,,,,,,,,
